game_year,pitch_type,pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
2020,FF,510,594798,Jacob deGrom,1135,44.9,0.186,0.134,0.3,0.32,0.239,0.244,0.196,18,97,92.7,24.6,2477,98.6,99.81,95,257,251,1.2,6.96,114,148,123,143,295,318,295
2020,FF,476,545333,Trevor Bauer,1165,40.9,0.14,0.17,0.173,0.31,0.224,0.223,0.149,14,100,92.3,32.5,2776,93.5,93.66,51,214,259,0.2,6.5,115,154,122,154,294,320,292
2020,FF,463,669456,Shane Bieber,1238,37.4,0.21,0.1,0.345,0.31,0.249,0.267,0.222,21,100,93.6,22.5,2354,94.1,94.74,48,187,276,0.6,6.61,106,153,117,150,293,316,290
2020,SL,403,594798,Jacob deGrom,1135,35.5,0.207,0.152,0.291,0.359,0.254,0.26,0.21,19,92,84.2,6.1,2565,92.5,93.98,108,241,161,1.5,6.89,114,148,120,145,294,317,295
2020,CU,325,669456,Shane Bieber,1238,26.3,0.095,0.048,0.212,0.143,0.133,0.152,0.117,8,84,84.8,-12.9,2352,83.6,83.77,84,163,162,0.2,6.47,108,153,121,149,291,316,290
2020,FC,230,545333,Trevor Bauer,1165,19.7,0.194,0.129,0.25,0.323,0.266,0.249,0.201,6,31,87.8,21.5,2908,85,85.53,40,96,132,0.5,6.36,113,152,116,154,293,318,292
2020,FC,201,669456,Shane Bieber,1238,16.2,0.289,0.184,0.281,0.474,0.336,0.359,0.308,11,38,88.7,19.6,2529,89.3,90.26,40,120,81,1,6.55,105,153,115,149,296,317,293
2020,SL,192,545333,Trevor Bauer,1165,16.5,0.075,0.057,0.088,0.132,0.108,0.173,0.137,4,53,80.2,16.9,2941,80.7,80.54,31,92,99,-0.2,6.35,112,152,124,150,298,319,287
2020,CH,192,594798,Jacob deGrom,1135,16.9,0.163,0.122,0.269,0.286,0.24,0.237,0.166,8,49,89.1,0,1638,91.4,92.81,42,96,94,1.4,7.02,114,149,133,142,288,315,299
2020,CU,183,545333,Trevor Bauer,1165,15.7,0.184,0.143,0.364,0.327,0.219,0.205,0.195,9,49,89.3,-8.2,2933,79.7,78.98,35,91,91,-0.7,6.29,117,152,129,158,289,319,295
2020,SL,144,669456,Shane Bieber,1238,11.6,0.135,0.162,0.25,0.297,0.248,0.265,0.13,5,37,90.6,9.1,2551,84.5,85.39,41,67,76,0.9,6.57,106,153,120,148,298,316,288
2020,CH,105,669456,Shane Bieber,1238,8.5,0.063,0,0.071,0.063,0.125,0.228,0.171,1,16,83.4,-13.1,1665,88.7,89.2,22,41,64,0.5,6.45,112,152,111,152,290,318,290
2020,SI,81,545333,Trevor Bauer,1165,7,0.292,0.125,0.353,0.417,0.342,0.279,0.181,7,24,89,26.1,2796,93.4,93.42,6,42,39,0,6.52,116,153,125,157,291,319,295
2020,FF,40,434378,Justin Verlander,73,54.8,0.214,0.429,0.111,0.643,0.363,0.339,0.221,3,14,93.1,14.4,2524,94.9,94.14,1,22,17,-0.8,6.2,117,154,120,153,272,314,302
2020,CU,30,594798,Jacob deGrom,1135,2.6,0.2,0,0.25,0.2,0.174,0.185,0.198,2,10,85.4,5.9,2632,84.1,85.31,5,16,14,1.2,6.88,118,149,122,142,289,315,298
2020,SL,27,434378,Justin Verlander,73,37,0,0,null,0,0,0,null,0,4,null,null,2545,87,86.73,8,10,17,-0.3,6.23,113,153,123,152,277,316,300
